"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"
"1044"	"7"	"IMG_5110.JPG"	"C98A80"	"june"	"2013"	"C1"	"CAL13-1354"	NA	"C98A80"
"2072"	"10"	"IMG_6192.JPG"	"C98A80"	"august"	"2013"	"C21"	"CAL13-1354"	NA	"C98A80"
"1045"	"8"	"IMG_5111.JPG"	"6DA1A7"	"june"	"2013"	"C1"	"CAL13-1355"	NA	"6DA1A7"
"4226"	"2"	"IMG_6983.JPG"	"6DA1A7"	"august"	"2015"	"C1"	"CAL13-1355"	NA	"6DA1A7"
"5805"	"8"	"IMG_2865.JPG"	"6DA1A7"	"august"	"2017"	"C1"	"CAL13-1355"	NA	"6DA1A7"
"2448"	"3"	"IMG_8409.jpg"	"6DA1A7"	"june"	"2014"	"C2"	"CAL13-1355"	NA	"6DA1A7"
"3122"	"1"	"IMG_9952.JPG"	"6DA1A7"	"august"	"2014"	"C2"	"CAL13-1355"	NA	"6DA1A7"
"1663"	"2"	"IMG_6073.jpg"	"4EE934"	"august"	"2013"	"C1"	"CAL13-1364"	NA	"4EE934"
"1055"	"10"	"IMG_5122.JPG"	"4EE934"	"june"	"2013"	"C2"	"CAL13-1364"	NA	"4EE934"
"4249"	"11"	"IMG_7005.JPG"	"4EE934"	"august"	"2015"	"C2"	"CAL13-1364"	NA	"4EE934"
"4887"	"1"	"IMG_5355.jpg"	"4EE934"	"june"	"2016"	"C2"	"CAL13-1364"	NA	"4EE934"
"1040"	"3"	"CAL13-1523.jpg"	"4EE1C2"	"june"	"2013"	"C1"	"CAL13-1523"	NA	"4EE1C2"
"3697"	"13"	"IMG_4559.JPG"	"4EE1C2"	"june"	"2015"	"C1"	"CAL13-1523"	NA	"4EE1C2"
"1694"	"10"	"IMG_6097.jpg"	"4EE1C2"	"august"	"2013"	"C2"	"CAL13-1523"	NA	"4EE1C2"
"2464"	"19"	"IMG_9174.jpg"	"4EE1C2"	"june"	"2014"	"C2"	"CAL13-1523"	NA	"4EE1C2"
"3135"	"14"	"IMG_9965.JPG"	"4EE1C2"	"august"	"2014"	"C2"	"CAL13-1523"	NA	"4EE1C2"
"1667"	"6"	"IMG_6077.jpg"	"6D826F"	"august"	"2013"	"C1"	"CAL13-1529"	NA	"6D826F"
"2430"	"7"	"6D826F_Jun14.jpg"	"6D826F"	"june"	"2014"	"C1"	"CAL13-1529"	NA	"6D826F"
"2445"	"22"	"IMG_9161.jpg"	"6D826F"	"june"	"2014"	"C1"	"CAL13-1529"	NA	"6D826F"
"1070"	"25"	"IMG_5491.JPG"	"6D826F"	"june"	"2013"	"C2"	"CAL13-1529"	NA	"6D826F"
"1662"	"1"	"IMG_6072.jpg"	"C97F47"	"august"	"2013"	"C1"	"CAL13-1699"	NA	"C97F47"
"1664"	"3"	"IMG_6074.jpg"	"C980FD"	"august"	"2013"	"C1"	"CAL13-1700"	NA	"C980FD"
"1665"	"4"	"IMG_6075.jpg"	"4EEAB1"	"august"	"2013"	"C1"	"CAL13-1701"	NA	"4EEAB1"
"2427"	"4"	"4EEAB1.jpg"	"4EEAB1"	"june"	"2014"	"C1"	"CAL13-1701"	NA	"4EEAB1"
